status,official_source,official_source_id,gaia_source_id,hip_source_id,proper_name,simbad_main_id,current_distance_source,reason_for_external_search,next_action,resolved_distance_pc,resolved_distance_error_pc,resolved_reference,resolution_notes
resolved,gaia,3326740865570982400,3326740865570982400,,,*  15 Mon,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,719,16,"Maiz Apellaniz 2019, A&A 630 A119 (doi:10.1051/0004-6361/201935885)","Robust Gaia DR2 distance to NGC 2264, whose main ionizing multiple is 15 Mon. The pipeline Gaia source is G=10.14 rather than the combined G≈4.66 system, so this also flags a component/photometry mismatch."
provisional,hip,94380,4313305917333012096,94380,,HD 179561,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,467.509,0.37218,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 467.14–467.63 pc; fidelity=1.000; SH_OUTFLAG=0001; Gaia RUWE=2.93. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,117896,1926365301241461888,117896,,HD 224068,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,850.342,156.528,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 821.94–1006.87 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=2.15. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,95199,6663290470077923456,95199,,HD 181246,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,575.003,39.4827,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 535.52–601.90 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=6.11. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,114789,6502330214106579712,114789,,HD 219269,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,281.71,12.3223,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 269.39–286.50 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=3.66. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,117863,1998148532777850880,117863,,* rho Cas,GEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,2800,300,"Anugu et al. 2024, ApJ 974 113 (doi:10.3847/1538-4357/ad6b2b); Quintana et al. 2025, A&A 697 A47",Gaia is corrupted by hypergiant surface/photocenter motion. CHARA adopts 2.5–3.1 kpc and modern Cas OB5 work places the association at 2.5–3.0 kpc; 2.8±0.3 kpc represents that literature range.
provisional,gaia,2028058994291893888,2028058994291893888,,,HD 186519,PHOTOGEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,1300,300,"Prieur et al. 2002, ApJS 139 249 (2002ApJS..139..249P; doi:10.1086/338029)","PS Vul is the resolved composite system HD 186519/HD 186518. High-angular-resolution work adopts 1.3 kpc; Hipparcos and Gaia parallaxes are poor, so a conservative 0.3 kpc uncertainty is assigned."
provisional,hip,89341,4093933487636355968,89341,Polis,* mu. Sgr,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,1520.59,30.4,"Bailer-Jones et al. 2021, AJ 161 147; Gaia Collaboration 2023, A&A 674 A1",The bright eclipsing primary lacks a five-parameter solution. The system distance uses the Bailer-Jones posterior for physical component E whose Gaia DR3 parallax is 0.6437±0.0380 mas; component D independently agrees at about 1.50 kpc. The component-membership assumption remains to be reviewed.
provisional,hip,111592,2008330491486269440,111592,,V* W Cep,GEO_WEAK,prior_authority_review_unresolved,seek_better_object_specific_measurement_before_promotion,2427,300,"Famaey et al. 2005, A&A 430 165 (2005A&A...430..165F)","W Cep is a red-supergiant binary and probable Cep OB1 member. Literature kinematics place it at 2427 pc; Gaia EDR3/Bailer-Jones gives an implausible ~9.4 kpc, so the association value is preferred with a conservative uncertainty."
resolved,hip,24988,4660601611448785152,24988,,HD 271182,GEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,gaia,6801284127165143296,6801284127165143296,,,HD 200245,PHOTOGEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,469.052,456.802,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 433.08–925.85 pc; fidelity=0.741; SH_OUTFLAG=0000; Gaia RUWE=17.73. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,gaia,4685991705804612992,4685991705804612992,,,SkKM 172,GEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,62440,3000,"Graczyk et al. 2020, ApJ 904 13 (2020ApJ...904...13G; doi:10.3847/1538-4357/abbb2b)",Confirmed SMC massive-star identity. Adopt the 62.44 kpc eclipsing-binary geometric center distance; the 3.0 kpc uncertainty deliberately represents the SMC line-of-sight depth and dominates the 0.94 kpc center error. Gaia foreground priors are not applicable.
resolved,gaia,4687436704549343488,4687436704549343488,,,HD   6884,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,62440,3000,"Graczyk et al. 2020, ApJ 904 13 (2020ApJ...904...13G; doi:10.3847/1538-4357/abbb2b)",Confirmed SMC massive-star identity. Adopt the 62.44 kpc eclipsing-binary geometric center distance; the 3.0 kpc uncertainty deliberately represents the SMC line-of-sight depth and dominates the 0.94 kpc center error. Gaia foreground priors are not applicable.
resolved,gaia,4658617199111762560,4658617199111762560,,,HD 269723,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,hip,26311,,26311,Alnilam,* eps Ori,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,384,8,"Oplistilova et al. 2025, arXiv:2507.02276, VLTI observations of the Orion Belt stars I","Preferred ε Ori/Alnilam distance from Orion OB1b members, supported by diffuse interstellar bands and reddening; the paper explicitly rejects the older ~600 pc Hipparcos result."
resolved,gaia,4658193814095915776,4658193814095915776,,,V* S Dor,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,459101393719884800,459101393719884800,,,V* S Per,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,2420,110,"Asaki et al. 2010, ApJ 721 267 (doi:10.1088/0004-637X/721/1/267)",Six-year VLBI H2O-maser parallax 0.413±0.017 mas gives 2.42 +0.11/-0.09 kpc. This direct maser distance supersedes Gaia photocenter astrometry for the red supergiant.
resolved,gaia,4657630731032546176,4657630731032546176,,,HD 270046,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,gaia,5714795561789116288,5714795561789116288,,,HD  66146,GEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,1936.34,903.098,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 1799.72–2839.44 pc; fidelity=0.157; SH_OUTFLAG=0000; Gaia RUWE=11.86. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
provisional,hip,3504,390548351252549760,3504,,* omi Cas,GEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,212.558,19.4549,"Gaia Collaboration 2018, A&A 616 A1 (Gaia DR2 I/345)",Exact DR2 parallax 4.7046±0.4306 mas is spectrally plausible for ο Cas. DR3 changed to 0.5116±0.7336 mas with RUWE=3.12; use DR2 provisionally and retain the release-instability warning.
resolved,hip,23177,4662293897281149824,23177,,HD 270920,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4657680513972093952,4657680513972093952,,,HD 269902,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,hip,22794,4655460776104657408,22794,,HD 268757,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4661772144657955456,4661772144657955456,,,SP77  21-12,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4659451968980169984,4659451968980169984,,,HD 270111,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,gaia,2191213153886504704,2191213153886504704,,,HD 203338,PHOTOGEO_WEAK,new_luminous_weak_astrometry,seek_better_object_specific_measurement_before_promotion,2052.39,768.58,"Bailer-Jones et al. 2021, AJ 161 147 (2021AJ....161..147B; VizieR I/352)","Gaia EDR3 geometric posterior 1470.71–2820.97 pc (16th–84th percentile), consistent with 1.8–2.2 kpc literature values for V381 Cep. A 4.6-arcsec catalog companion is foreground and must not set the system distance."
provisional,hip,42570,5521599549054493696,42570,,* b Vel,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,2532.08,599.87,"Bailer-Jones et al. 2021, AJ 161 147 (2021AJ....161..147B; VizieR I/352)",Gaia EDR3 geometric posterior 2134.67–3131.95 pc for the F0 Ia supergiant; RUWE=2.56 makes the broad posterior preferable to direct parallax inversion.
resolved,gaia,4661827841784748032,4661827841784748032,,,HD 269145,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4069737050648231424,4069737050648231424,,,V* VX Sgr,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,1560,110,"Xu et al. 2018, ApJ 859 14 (2018ApJ...859...14X; doi:10.3847/1538-4357/aabba6)",VLBI H2O-maser parallax 0.64±0.04 mas gives 1.56 +0.11/-0.10 kpc. Direct maser astrometry supersedes Gaia for the red hypergiant.
resolved,gaia,4658106269873047296,4658106269873047296,,,CD-69   310,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4658445056805046144,4658445056805046144,,,[W60] A23,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
resolved,gaia,4652214880388720000,4652214880388720000,,,HD 269110,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,gaia,5614892075564826752,5614892075564826752,,,HD  60974,GEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,257.354,50,"Stassun et al. 2019, AJ 158 138 (TIC v8; 2019AJ....158..138S)","TIC v8 distance for the A0 V visual double. Gaia DR3 parallax is -3.339±0.569 mas with RUWE=21.5 and is unusable; TIC supplies no formal distance error, so 50 pc is assigned conservatively."
resolved,gaia,4661730912968569984,4661730912968569984,,,HD  32034,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,gaia,4643634703890799360,4643634703890799360,,,DENIS J022715.6-734636,GEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,13350.5,4063,"Suh 2020, AJ 160 83 (2020AJ....160...83S)","SIMBAD literature distance from the spectral-type/luminosity method. The source is not a confirmed SMC member and Gaia parallax is negative, so retain the published 13.35±4.06 kpc estimate provisionally."
provisional,hip,102258,2184235550013897344,102258,,V* V379 Cep,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,858.058,100.733,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 826.67–958.79 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=1.61. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
provisional,hip,96007,4214817880514992128,96007,,HD 183794,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,754.34,35.35,"Gaia Collaboration 2023, A&A 674 A1 (Gaia DR3 I/355; source 4214817880514992128)","A 1-arcsec Gaia cone search recovers the bright B8 II primary: parallax 1.3257±0.0621 mas, RUWE=1.81. The close companion lacks a five-parameter solution; direct inversion is retained provisionally."
resolved,gaia,4657702886498144256,4657702886498144256,,,HD 269840,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,hip,29041,3423512766584044928,29041,,HD  41690,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,1438.22,195.417,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 1427.40–1633.63 pc; fidelity=0.867; SH_OUTFLAG=0010; Gaia RUWE=1.58. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,75629,6322696368047406976,75629,,HD 137610,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,737.986,62.0661,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 675.92–762.26 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=2.20. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,gaia,5971289565647972608,5971289565647972608,,,* mu.01 Sco,GEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,153.6,21.5,"van Antwerpen & Moon 2010, MNRAS 401 2059 (doi:10.1111/j.1365-2966.2009.15796.x)",Binary analysis uses the revised Hipparcos parallax 6.51±0.91 mas and finds a distance of about 150 pc; a later binary solution gives a compatible ~135 pc photometric distance.
provisional,hip,117062,2209967244539184000,117062,,HD 222857,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,385.94,18.3204,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 369.27–404.26 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=2.99. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,gaia,4657274283151403520,4657274283151403520,,,HD 269786,PHOTOGEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
provisional,hip,28832,3322294131312299520,28832,,HD  41379,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,607.98,143.23,"Bailer-Jones et al. 2021, AJ 161 147 (2021AJ....161..147B; VizieR I/352)","Gaia EDR3 photogeometric posterior 483.51–751.21 pc for the A0 visual double. The geometric posterior is much broader and RUWE=3.95, so the photogeometric value is the best available but remains provisional."
resolved,hip,22392,4655349652394811136,22392,,HD 268654,GEO_WEAK,prior_authority_review_unresolved,review_and_promote_to_versioned_override,49590,2500,"Pietrzynski et al. 2019, Nature 567 200 (doi:10.1038/s41586-019-0999-4)",Confirmed LMC massive-star identity. Adopt the 49.59 kpc eclipsing-binary geometric center distance; the 2.5 kpc uncertainty deliberately represents LMC line-of-sight depth and dominates the 0.55 kpc center error. Gaia/StarHorse foreground priors are not applicable.
